einstellungsparameter;aInStElUNspaRa:me:t6 
gemeinschaften;g@maInSaft@n 
gemeinschaftenlokalen;g@maInSaft@nlo:ka:l@n 
gemeinschaftenquelltext;g@maInSaft@nkvEltEkst 
gemeinschaftistatistischen;g@maInSaftIstatIstIS@n 
gemeinschaftlich;g@maInSaftlIC 
gemeinschaftliche;g@maInSaftlIC@ 
gemeinschaftlichen;g@maInSaftlIC@n 
gemeinschaftlicher;g@maInSaftlIC6 
gemeinschaftnace;g@maInSaftnats@ 
gemeinschaftneue;g@maInSaftnOY@ 
gemeinschaftquelltext;g@maInSaftkvEltEkst 
gemeinschafts;g@maInSafts 
gemeinschaftsaufgaben;g@maInSafts aUfga:b@n 
gemeinschaftsbegriff;g@maInSaftsb@gRIf 
gemeinschaftsbegriffquelltext;g@maInSaftsb@gRIfkvEltEkst 
gemeinschaftsbildung;g@maInSaftsbIldUN 
gemeinschaftseinrichtung;g@maInSafts aInRICtUN 
gemeinschaftsentwicklung;g@maInSafts EntvIklUN 
gemeinschaftserhaltend;g@maInSafts ERhalt@nt 
gemeinschaftsflagge;g@maInSaftsflag@ 
gemeinschaftsformenquelltext;g@maInSaftsfORm@nkvEltEkst 
gemeinschaftsgebet;g@maInSaftsg@be:t 
gemeinschaftskompostierung;g@maInSaftskOmpOsti:RUN 
gemeinschaftskonzepte;g@maInSaftskOntsEpt@ 
gemeinschaftslebens;g@maInSaftsle:b@ns 
gemeinschaftslebewesen;g@maInSaftsle:b@ve:z@n 
gemeinschaftsmarkenverordnung;g@maInSaftsmaRk@nfER ORdnUN 
gemeinschaftsmitglieder;g@maInSaftsmItgli:d6 
gemeinschaftspanische;g@maInSaftSpa:nIS@ 
gemeinschaftspflichten;g@maInSaftspflICt@n 
gemeinschaftsplattformen;g@maInSaftsplatfORm@n 
gemeinschaftspraxen;g@maInSaftspRaks@n 
gemeinschaftsprojekt;g@maInSaftspRo:jEkt 
gemeinschaftsrecht;g@maInSaftsRECt 
gemeinschaftsstiftend;g@maInSaftsStIft@nt 
gemeinschaftsstiftenden;g@maInSaftsStIft@nd@n 
gemeinschaftsunternehmen;g@maInSafts Unt6ne:m@n 
gemeinschaftsup;g@maInSafts ap 
gemeinsprache;g@maInSpRa:x@ 
gemeinsprachlich;g@maInSpRa:xlIC 
gemeinspruch;g@maInSpRUx 
gemeint;g@maInt 
gemeinte;g@maInt@ 
gemeinten;g@maInt@n 
gemeinter;g@maInt6 
gemeintes;g@maInt@s 
gemeintsup;g@maIntzu:p 
gemeinwesen;g@maInve:z@n 
gemeinwesens;g@maInve:z@ns 
gemeinwohl;g@maInvo:l 
gemeinwohls;g@maInvo:ls 
gemeldet;g@mEld@t 
gemeldete;g@mEld@t@ 
gemeldeten;g@mEld@t@n 
gemeldeter;g@mEld@t6 
gemen;ge:m@n 
gemenfriedrich;ge:m@nfRi:dRIC 
gemenge;g@mEN@ 
gemenignaz;g@mEnIgnats 
gemessen;g@mEs@n 
gemessene;g@mEs@n@ 
gemessenen;g@mEs@n@n 
gemessenes;g@mEs@n@s 
gemessenheit;g@mEs@nhaIt 
gemietet;g@mi:t@t 
gemildert;g@mIld6t 
gemilderte;g@mIld6t@ 
gemination;ge:mi:natsi:o:n 
gemindert;g@mInd6t 
geminderte;g@mInd6t@ 
gemisch;g@mIS 
gemische;g@mIS@ 
gemischenquelltext;g@mIS@nkvEltEkst 
gemischsquelltext;g@mISskvEltEkst 
gemischt;g@mISt 
gemischte;g@mISt@ 
gemischten;g@mISt@n 
gemischter;g@mISt6 
gemischtes;g@mISt@s 
gemistos;g@mIstOs 
gemittelt;g@mIt@lt 
gemittelte;g@mIt@lt@ 
gemittelten;g@mIt@lt@n 
gemittelter;g@mIt@lt6 
gemixt;g@mIkst 
geml;gEml 
gemmologische;gEmo:lo:gISE 
gemocht;g@mOxt 
gemoll;g@mOl 
gemollwilhelm;g@mOlvIlhElm 
gemurmelte;g@mURm@lt@ 
gemusterter;g@mUst6t6 
gen;ge:n 
genannt;g@nant 
genannte;g@nant@ 
genannten;g@nant@n 
genannter;g@nant6 
genanntes;g@nant@s 
genanntnulnlia;g@nantnUlnli: a: 
genanntsup;g@nants ap 
genau;g@naU 
genaudas;g@naUdas 
genaue;g@naU@ 
genauem;g@naU@m 
genauen;g@naU@n 
genauer;g@naU6 
genauere;g@naU@R@ 
genaueren;g@naU@R@n 
genaueres;g@naU@R@s 
genaues;g@naU@s 
genaueste;g@naU@st@ 
genauesten;g@naU@st@n 
genauestens;ge:n 9st@ns 
genaugenommen;g@naUg@nOm@n 
genauigkeit;g@naUICkaIt 
genauigkeitdoppelter;g@naUICkaItdOp@lt6 
genauigkeiten;g@naUICkaIt@n 
genauigkeitenquelltext;g@naUICkaIt@nkvEltEkst 
genauigkeitquelltext;g@naUICkaItkvEltEkst 
genauigkeitsanforderungen;g@naUICkaIts anfORd@RUN@n 
genauigkeitsangabe;g@naUICkaIts anga:b@ 
genauigkeitssteigerung;g@naUICkaItsStaIg@RUN 
genaunen;g@na: u:n@n 
genauso;g@naUzo: 
gendas;ge:ndas 
gendebatte;ge:nde:bat@ 
gendefekt;ge:nde:fEkt 
genderdoing;gEnd6do: IN 
gendereinkommenschere;ge:nde:6 aInkOm@nSe:R@ 
gendlineugene;gEntli:nOYg@nE 
gendrift;ge:ndRIft 
gendron;gEndROn 
genduplikation;ge:ndu:pli:katsi:o:n 
gene;ge:n@ 
genealogical;g@ne: alo:gIka:l 
genealogie;ge:ne:alo:gi: 
genealogiequelltext;ge:ne:alo:gi:kvEltEkst 
genealogische;ge:ne:alo:gIS@ 
genealogischen;ge:ne:alo:gIS@n 
genealogy;g@ne: alo:gi: 
genehmigen;g@ne:mIg@n 
genehmigende;g@ne:mIg@nd@ 
genehmigendes;g@ne:mIg@nd@s 
genehmigt;g@ne:mICt 
genehmigte;g@ne:mICt@ 
genehmigter;g@ne:mICt6 
genehmigung;g@ne:mIgUN 
genehmigungen;g@ne:mIgUN@n 
genehmigungs;g@ne:mIgUNs 
genehmigungspflichtig;g@ne:mIgUNspflICtIC 
genehmigungspflichtige;g@ne:mIgUNspflICtIg@ 
genehmigungspflichtigsup;g@ne:mIgUNspflICtICzu:p 
genehmigungsverfahren;g@ne:mIgUNsfERfa:R@n 
geneigt;g@naIkt 
geneigte;g@naIkt@ 
geneigten;g@naIkt@n 
geneigtheit;g@naIkthaIt 
genelevel;ge:n@lEvl 
genellibonaventura;dZe:nEli:bo:navEntu:Ra: 
genen;ge:n@n 
geneplore;g@nEplo:RE 
genera;ge:ne:Ra: 
general;ge:n@Ra:l 
generalabt;ge:n@Ra:l apt 
generalangriff;ge:n@Ra:l angRIf 
generalanwalt;ge:n@Ra:l anvalt 
generalanwaltes;ge:n@Ra:l anvalt@s 
generalbass;ge:n@Ra:lbas 
generalbasses;ge:n@Ra:lbaz@s 
generalbassnotation;ge:n@Ra:lbasno:tatsi:o:n 
generalbassspiel;ge:n@Ra:lbasSpi:l 
generale;ge:n@Ra:l@ 
generalescortes;ge:ne:RalEskORtEs 
generalesspanischen;ge:n@Ra:l@sSpa:nIS@n 
generalestudium;ge:n@Ra:l@Stu:di:Um 
generalfeldmarschall;ge:n@Ra:lfEltmaRS al 
generalgouverneur;ge:n@Ra:lgu:vERn2:6 
generaliassicurazioni;ge:ne:Rali: aszIku:Ratsi: o:ni: 
generalis;ge:n@Ra:li:s 
generalisierbar;ge:n@Rali:zi:6ba:6 
generalisieren;ge:n@Rali:zi:R@n 
generalisierende;ge:n@Rali:zi:R@nd@ 
generalisierenden;ge:n@Rali:zi:R@nd@n 
generalisierens;ge:n@Rali:zi:R@ns 
generalisierte;ge:n@Rali:zi:6t@ 
generalisiertes;ge:n@Rali:zi:6t@s 
generalisierung;ge:n@Rali:zi:RUN 
generalisierungquelltext;ge:n@Rali:zi:RUNkvEltEkst 
generalisierungs;ge:n@Rali:zi:RUNs 
generalissimus;ge:n@RalIsi:mUs 
generalistenprinzip;ge:n@RalIst@npRIntsi:p 
generalistischen;ge:n@RalIstIS@n 
generalitat;ge:n@Ra:li:ta:t 
generalization;ge:ne:Rali:tsatsi: o:n 
generalizations;ge:ne:Rali:tsatsi: o:ns 
generalklauselpolizei;ge:n@Ra:lklaUz@lpo:li:tsaI 
generalkommandierender;ge:n@Ra:lkOmandi:R@nd6 
generalkonferenz;ge:n@Ra:lkOnfe:REnts 
generalkonsulat;ge:n@Ra:lkOnzu:la:t 
generalleutnant;ge:n@Ra:lOYtnant 
generally;ge:ne:Rali: 
generalmagister;ge:n@Ra:lmagIst6 
generalmajor;ge:n@Ra:lmajo:6 
generalminister;ge:n@Ra:lmi:nIst6 
generalmusikdirektor;ge:n@Ra:lmu:zi:kdi:REkto:6 
generalna;ge:n@Ra:lna: 
generals;ge:n@Ra:ls 
generalstab;ge:n@Ra:lSta:p 
generalstabpolnischer;ge:n@Ra:lSta:pOlnIS6 
generalstabs;ge:n@Ra:lSta:ps 
generalstreik;ge:n@Ra:lStRaIk 
generalversammlung;ge:n@Ra:lfERzamlUN 
generalvikar;ge:n@Ra:lvi:ka:6 
generalvikarin;ge:n@Ra:lvi:ka:RIn 
generated;ge:ne:Ra:tEt 
generation;ge:n@Ratsi:o:n 
generatione;ge:n@Ratsi:o:n@ 
generationen;ge:n@Ratsi:o:n@n 
generationenabstand;ge:n@Ratsi:o:n@n apStant 
generationenabstandquelltext;ge:n@Ratsi:o:n@n apStantkvEltEkst 
generationenfolge;ge:n@Ratsi:o:n@nfOlg@ 
generationenspanne;ge:n@Ratsi:o:n@nSpan@ 
generationenstiftung;ge:n@Ratsi:o:n@nStIftUN 
generations;ge:n@Ratsi:o:ns 
generationsdauer;ge:n@Ratsi:o:nsdaU6 
generationsebene;ge:n@Ratsi:o:ns e:b@n@ 
generationsfolge;ge:n@Ratsi:o:nsfOlg@ 
generationsup;ge:n@Ratsi:o:ns ap 
generationswechsel;ge:n@Ratsi:o:nsvEks@l 
generative;ge:n@Rati:v@ 
generativen;ge:n@Rati:v@n 
generatives;ge:n@Rati:v@s 
generativtransformationellen;ge:n@Rati:ftRansfORmatsi:o:n El@n 
generatoren;ge:n@Rato:R@n 
generatorimpedanz;ge:ne:Rato:RImpe:dants 
generell;ge:n@REl 
generellabstrakt;ge:n@REl apstRakt 
generellabstrakte;ge:n@REl apstRakt@ 
generellabstrakter;ge:n@REl apstRakt6 
generelle;ge:n@REl@ 
generellen;ge:n@REl@n 
genereller;ge:n@REl6 
generelles;ge:n@REl@s 
generellesquelltext;ge:n@REl@skvEltEkst 
generically;ge:ne:RIkali: 
generieren;ge:n@Ri:R@n 
generierenden;ge:n@Ri:R@nd@n 
generierensup;ge:n@Ri:R@ns ap 
generiert;ge:n@Ri:6t 
generierten;ge:n@Ri:6t@n 
generierung;ge:n@Ri:RUN 
generis;ge:ne:RIs 
generische;ge:ne:RIS@ 
generischen;ge:ne:RIS@n 
generishumani;ge:ne:RIshu:mani: 
generissui;ge:n@RIs u:i: 
generisvertrag;ge:ne:RIsfERtRa:k 
genero;g@ne:Ro: 
genes;ge:n@s 
genese;ge:ne:z@ 
genesis;ge:ne:zIs 
genesispassage;ge:ne:zIspasa:Z@ 
genesissup;ge:ne:zIs ap 
genesup;ge:n@s ap 
genetic;ge:n@tIk 
genetically;ge:ne:tIkali: 
genetik;ge:ne:tIk 
genetikquelltext;ge:ne:tIkvEltEkst 
genetiksup;ge:ne:tIks ap 
genetisch;ge:ne:tIS 
genetischdidaktische;ge:ne:tISdi:daktIS@ 
genetische;ge:ne:tIS@ 
genetischen;ge:ne:tIS@n 
genetischer;ge:ne:tIS6 
genetisches;ge:ne:tIS@s 
genetisierung;ge:ne:ti:zi:RUN 
genetnat;g@nEtna:t 
geneva;g@ne:fa: 
genevieve;g@ne:vi:vE 
genevillegeoffrey;g@ne:vIle:gE OfRaI 
genevois;g@ne:vo: a 
genexpression;ge:n EkspREsi:o:n 
genezarethsee;g@nEtsaREtha ze: 
genf;gEnf 
genfer;gEnf6 
genfflughafen;gEnflu:kha:f@n 
genfimg;gEnfImC 
genfkanton;gEnfkanto:n 
genfluss;ge:nflUs 
genfsup;gEnfs ap 
gengesteuerte;ge:ng@StOY6t@ 
genial;ge:ni:a:l 
geniale;ge:ni:a:l@ 
geniculatum;ge:ni:ku:la:tUm 
genie;Ze:ni: 
geniessen;g@ni:s@n 
geniesst;g@ni:st 
genitalien;ge:ni:ta:li:@n 
genitibo;ge:ni:ti:bo: 
genitiu;ge:ni:ti: U 
genitiv;ge:ni:ti:f 
genitivattribut;ge:ni:ti:f atRi:bu:t 
genitivattribute;ge:ni:ti:f atRi:bu:t@ 
genitivbildung;ge:ni:ti:fbIldUN 
genitive;ge:ni:ti:v@ 
genitiven;ge:ni:ti:v@n 
genitivendung;ge:ni:ti:f EndUN 
genitivform;ge:ni:ti:fORm 
genitivformen;ge:ni:ti:fORm@n 
genitivischen;ge:ni:ti:fIS@n 
genitivkasus;ge:ni:ti:fka:zUs 
genitivkonstruktion;ge:ni:ti:fkOnstRUktsi:o:n 
genitivo;ge:ni:ti:vo: 
genitivquelltext;ge:ni:ti:fkvEltEkst 
genitivs;ge:ni:ti:fs 
genitivsquelltext;ge:ni:ti:fskvEltEkst 
genitivvarianten;ge:ni:ti:fvaRi:ant@n 
genius;ge:ni:Us 
genmaterial;ge:nmate:Ri:a:l 
gennaio;gEna i: o: 
genom;ge:no:m 
genome;ge:no:m@ 
genomic;g@no:mIk 
genomische;ge:no:mIS@ 
genommen;g@nOm@n 
genommene;g@nOm@n@ 
genommenen;g@nOm@n@n 
genommensup;g@nOm@ns ap 
genomorganismus;ge:no:m ORganIsmUs 
genomquelltext;ge:no:mkvEltEkst 
genoms;ge:no:ms 
genomsequenzierung;g@nOmzEkvEntsi:RUN 
genomssup;g@nOmszu:p 
genordet;g@nORdEt 
genormt;g@nORmt 
genormte;g@nORmt@ 
genormten;g@nORmt@n 
genormter;g@nORmt6 
genormtes;g@nORmt@s 
genoss;g@nOs 
genossen;g@nOs@n 
genossenschaft;g@nOs@nSaft 
genossenschafteingetragene;g@nOs@nSaft aIng@tRa:g@n@ 
genossenschaften;g@nOs@nSaft@n 
genossenschaftenquelltext;g@nOs@nSaft@nkvEltEkst 
genossenschaftlich;g@nOs@nSaftlIC 
genossenschaftliche;g@nOs@nSaftlIC@ 
genossenschaftlicher;g@nOs@nSaftlIC6 
genossenschafts;g@nOs@nSafts 
genossenschaftskulturquelltext;g@nOs@nSaftskUltu:6kvEltEkst 
genossenschaftsregister;g@nOs@nSaftsRe:gIst6 
genossenschaftswirtschaft;g@nOs@nSaftsvIRtSaft 
genotyps;ge:no:ty:ps 
genovesejpg;g@no:vEzEja pga 
genozid;ge:no:tsi:t 
genpool;ge:npu:l 
genprodukte;ge:npRo:dUkt@ 
genre;Za^R@ 
genrebegriff;Za^R@b@gRIf 
genrebezeichnungen;Za^R@b@tsaICnUN@n 
genredefinitionen;Za^R@de:fi:ni:tsi:o:n@n 
genreerweiterungen;Za^R@ ERvaIt@RUN@n 
genrefilm;Za^R@fIlm 
genrefilme;Za^R@fIlm@ 
genregulation;ge:nRe:gu:latsi:o:n 
genrequelltext;Za^R@kvEltEkst 
genres;Za^R@s 
genresquelltext;Za^R@skvEltEkst 
genrestrukturen;Za^R@StRUktu:R@n 
genretheorie;Za^R@te:o:Ri: 
gens;gEns 
genschow;gEnSo: 
gensicke;ge:nzIk@ 
gent;gEnt 
gentechnik;ge:ntECnIk 
gentechnisch;ge:ntECnIS 
gentechnische;ge:ntECnIS@ 
gentechnologischer;ge:ntECno:lo:gIS6 
genth;gEnt 
genthe;gEnthe: 
gentisorigo;gEnti:zo:Ri:go: 
gentiumius;gEnti: Umi: Us 
gentiumlumen;gEnti: Umlu:mEn 
gentlemanthe;dZEnt@lm@ns@ 
gentlemantristram;gEntle:mantRIstRa:m 
genua;ge:nu:a: 
genuaadelsrepublik;ge:nu:a: a:d@lsRe:pu:bli:k 
genuahafen;ge:nu:a:ha:f@n 
genuesischer;ge:nYzIS6 
genug;g@nu:k 
genugtuung;g@nu:ktu:UN 
genuin;ge:nu: i:n 
genuine;ge:nu: i:n@ 
genuinen;ge:nu: i:n@n 
genuines;ge:nu: i:n@s 
genus;ge:nUs 
genusmerkmale;ge:nUsmERkma:l@ 
genusquelltext;ge:nUskvEltEkst 
genuss;g@nUs 
genussleben;g@nUsle:b@n 
genussmittel;g@nUsmIt@l 
genutzt;g@nUtst 
genutzte;g@nUtst@ 
genutzten;g@nUtst@n 
genutzter;g@nUtst6 
genutztes;g@nUtst@s 
genutztsup;g@nUtstzu:p 
genver;gEnfER 
genz;gEnts 
genzhenning;gEntshEnIN 
genzmerwalther;gEntsm6valt6 
geoanwendungen;ge:o: anvEndUN@n 
geobasisdaten;ge:o:ba:zIsda:t@n 
geobiological;gE o:bi: o:lo:gIka:l 
geochemie;ge:o:Ce:mi: 
geochemischen;ge:o:Ce:mIS@n 
geochronologiequelltext;ge:o:kRo:no:lo:gi:kvEltEkst 
geochronologischen;ge:o:kRo:no:lo:gIS@n 
geodaten;ge:o:da:t@n 
geodatenbanken;ge:o:da:t@nbaNk@n 
geodatenbankenquelltext;ge:o:da:t@nbaNk@nkvEltEkst 
geodatendienste;ge:o:da:t@ndi:nst@ 
geodatendistribution;ge:o:da:t@ndIstRi:bu:tsi:o:n 
geodatenquelltext;ge:o:da:t@nkvEltEkst 
geodatenverwaltung;ge:o:da:t@nfERvaltUN 
geodesy;gE o:dEzi: 
geodynamik;ge:o:dy:na:mIk 
geodynamische;ge:o:dy:na:mIS@ 
geoeconomic;gE 9ko:no:mIk 
geoff;gE Of 
geoffenbarten;g@ Of@nba:6t@n 
geoffrey;gE OfRaI 
geoffroy;gE OfROY 
geoforschungszentrum;ge:o:fORSUNstsEntRUm 
geogene;ge:o:ge:n@ 
geogenic;gE o:ge:ni:ts 
geoghegan;gE Okhe:ga:n 
geogr;gE OgR 
geografi;gE o:gRafi: 
geografiaj;gE o:gRafi: aja 
geografic;gE o:gRafIk 
geografica;gE o:gRafIka: 
geograficzne;gE o:gRafItstsnE 
geograficznej;gE o:gRafItstsnEja 
geografie;gE o:gRafi: 
geografiequelltext;gE o:gRafi:kvEltEkst 
geografis;gE o:gRa:fIs 
geografisch;ge:o:gRa:fIS 
geografische;ge:o:gRa:fIS@ 
geografischen;ge:o:gRa:fIS@n 
geografischer;ge:o:gRa:fIS6 
geografisches;ge:o:gRa:fIS@s 
geograph;ge:o:gRa:f 
geographen;ge:o:gRa:f@n 
geographers;ge:o:gRa:f6s 
geographic;gE o:gRafi:ts 
geographica;gE o:gRafi:ka: 
geographical;gE o:gRafi:ka:l 
geographically;gE o:gRafi:kali: 
geographicorum;gE o:gRafi:ko:RUm 
geographicum;gE o:gRafi:kUm 
geographie;ge:o:gRafi: 
geographiehistorische;ge:o:gRafi:hIsto:RIS@ 
geographiemathematische;ge:o:gRafi:mat@ma:tIS@ 
geographiephysische;ge:o:gRafi:fy:zIS@ 
geographiephysischgeographischer;ge:o:gRafi:fy:zISge:o:gRa:fIS6 
geographiepolitische;ge:o:gRafi:po:li:tIS@ 
geographiepolitischen;ge:o:gRafi:po:li:tIS@n 
geographiequelltext;ge:o:gRafi:kvEltEkst 
geographisch;ge:o:gRa:fIS 
geographischastronomischen;gE o:gRa:fISastRo:no:mIS@n 
geographische;ge:o:gRa:fIS@ 
geographischen;ge:o:gRa:fIS@n 
geographischer;ge:o:gRa:fIS6 
geographisches;ge:o:gRa:fIS@s 
geographischkulturell;gE o:gRa:fISkUltu:REl 
geography;gE o:gRafi: 
geoid;ge:o: i:t 
geoinformatik;ge:o: InfORma:tIk 
geoinformatikquelltext;ge:o: InfORma:tIkvEltEkst 
geoinformation;ge:o: InfORmatsi:o:n 
geoinformationdeutsche;ge:o: InfORmatsi:o:ndOYtS@ 
geoinformationen;ge:o: InfORmatsi:o:n@n 
geoinformationenrechte;ge:o: InfORmatsi:o:n@nRECt@ 
geoinformationssoftware;ge:o: InfORmatsi:o:nsOftu:E:6 
geoinformationssystem;ge:o: InfORmatsi:o:nszYste:m 
geoinformationssysteme;ge:o: InfORmatsi:o:nszYste:m@ 
geoinformationssystemen;ge:o: InfORmatsi:o:nszYste:m@n 
geoinformationssystemenquelltext;ge:o: InfORmatsi:o:nszYste:m@nkvEltEkst 
geoinformationssystemequelltext;ge:o: InfORmatsi:o:nszYste:m@kvEltEkst 
geokodierung;ge:o:ko:di:RUN 
geologe;ge:o:lo:g@ 
geologen;ge:o:lo:g@n 
geologenliste;ge:o:lo:g@nlIst@ 
geologia;ge: o:lo:gi: a: 
geological;ge: o:lo:gIka:l 
geologie;ge:o:lo:gi: 
geologieangewandte;ge:o:lo:gi: ang@vant@ 
geologiegeschichte;ge:o:lo:gi:g@SICt@ 
geologiehistorische;ge:o:lo:gi:hIsto:RIS@ 
geologiequelltext;ge:o:lo:gi:kvEltEkst 
geologisch;ge:o:lo:gIS 
geologische;ge:o:lo:gIS@ 
geologischen;ge:o:lo:gIS@n 
geologischer;ge:o:lo:gIS6 
geologisches;ge:o:lo:gIS@s 
geology;ge: o:lo:gi: 
geom;gE o:m 
geomatics;g@ o:matIks 
geometer;ge:o:me:t6 
geometria;gE o:me:tRI a: 
geometric;gE o:me:tRIts 
geometrico;gE o:me:tRIko: 
geometrie;ge:o:me:tRi: 
geometrieabsolute;ge:o:me:tRi: apzo:lu:t@ 
geometrieaffine;ge:o:me:tRi: afi:n@ 
geometriealgebraische;ge:o:me:tRi: alge:bRa:IS@ 
geometriealgebraischen;ge:o:me:tRi: alge:bRa:IS@n 
geometriealgorithmische;ge:o:me:tRi: algo:RItmIS@ 
geometrieanalytische;ge:o:me:tRi: analy:tIS@ 
geometrieanalytischen;ge:o:me:tRi: analy:tIS@n 
geometrieaxiomen;ge:o:me:tRi: aksi:o:m@n 
geometriebuch;ge:o:me:tRi:bu:x 
geometriedarstellende;ge:o:me:tRi:da:6StEl@nd@ 
geometriedarstellenden;ge:o:me:tRi:da:6StEl@nd@n 
geometriedaten;ge:o:me:tRi:da:t@n 
geometriediskrete;ge:o:me:tRi:dIskRe:t@ 
geometriedynamische;ge:o:me:tRi:dy:na:mIS@ 
geometrieebene;ge:o:me:tRi: e:b@n@ 
geometrieendlichen;ge:o:me:tRi: EntlIC@n 
geometrieeuklidische;ge:o:me:tRi: OYkli:dIS@ 
geometrieeuklidischen;ge:o:me:tRi: OYkli:dIS@n 
geometrieeuklidischer;ge:o:me:tRi: OYkli:dIS6 
geometrieformelsammlung;ge:o:me:tRi:fORm@lzamlUN 
geometriegrundlagen;ge:o:me:tRi:gRUntla:g@n 
geometriehilberts;ge:o:me:tRi:hIlb6ts 
geometriehyperbolische;ge:o:me:tRi:hy:p6bo:lIS@ 
geometriekombinatorische;ge:o:me:tRi:kOmbi:nato:RIS@ 
geometrien;ge:o:me:tRi:@n 
geometrienichteuklidische;ge:o:me:tRi:nICt OYkli:dIS@ 
geometrienquelltext;ge:o:me:tRi:nkvEltEkst 
geometrieprojektive;ge:o:me:tRi:pRo:jEkti:v@ 
geometrieprojektiven;ge:o:me:tRi:pRo:jEkti:v@n 
geometriequelltext;ge:o:me:tRi:kvEltEkst 
geometrieriemannsche;gE o:me:tRi:Ri:manSE 
geometrieriemannscher;gE o:me:tRi:Ri:manS6 
geometriesup;ge:o:me:tRi:s ap 
geometriesynthetische;ge:o:me:tRi:zYnte:tIS@ 
geometriesynthetischen;ge:o:me:tRi:zYnte:tIS@n 
geometrietropische;ge:o:me:tRi:tRo:pIS@ 
geometrieunterricht;ge:o:me:tRi: Unt6RICt 
geometrieunterrichts;ge:o:me:tRi: Unt6RICts 
geometriques;gE o:me:tRIkvEs 
geometrisch;ge:o:me:tRIS 
geometrische;ge:o:me:tRIS@ 
geometrischem;ge:o:me:tRIS@m 
geometrischen;ge:o:me:tRIS@n 
geometrischer;ge:o:me:tRIS6 
geometrisches;ge:o:me:tRIS@s 
geometry;gE o:mEtRi: 
geomleq;gE OmlE 
geomorphologie;ge:o:mORfo:lo:gi: 
geomorphologiequelltext;ge:o:mORfo:lo:gi:kvEltEkst 
geomorphologische;ge:o:mORfo:lo:gIS@ 
geoobjekt;ge:o: OpjEkt 
geoobjekte;ge:o: OpjEkt@ 
geoobjekten;ge:o: OpjEkt@n 
geoobjektes;ge:o: OpjEkt@s 
geopfert;g@ Opf6t 
geophysical;gE o:fy:zIka:l 
geophysics;gE o:fy:zIts 
geophysik;ge:o:fy:zi:k 
geophysikalisch;ge:o:fy:zi:ka:lIS 
geophysikalischer;ge:o:fy:zi:ka:lIS6 
geophysikangewandte;ge:o:fy:zi:k ang@vant@ 
geophysiker;ge:o:fy:zi:k6 
geopolitische;ge:o:po:li:tIS@ 
geopolitischen;ge:o:po:li:tIS@n 
geopotentialquelltext;ge:o:po:tEntsi:a:lkvEltEkst 
geopotentielle;ge:o:po:tEntsi:El@ 
geordi;gE ORdi: 
geordie;gE ORdi:@ 
geordnet;g@ ORdn@t 
geordnete;g@ ORdn@t@ 
geordneten;g@ ORdn@t@n 
geordneter;g@ ORdn@t6 
geordnetes;g@ ORdn@t@s 
georeferenzierte;ge: o:Re:f@REntsi:6tE 
georeferenzierung;ge: o:Re:f@REntsi:RUN 
georeferenzierungquelltext;ge: o:Re:f@REntsi:RUNkvEltEkst 
georeferenzierungsmethoden;ge: o:Re:f@REntsi:RUNsme:to:dEn 
georg;ge:ORk 
georgcarlsiegfried;ge:ORkaRlzi:kfRi:t 
georgcarltheodor;ge:ORkaRlte:o:do:6 
georgdeutsche;ge:ORkdOYtS@ 
george;dZ OdZ 
georgeelizabeth;dZ OdZ ElIz@bEs 
georgemanfred;dZ OdZmanfRe:t 
georgen;ge: o:6gEn 
georges;dZ OdZ s 
georgeskarl;ge:ORg@skaRl 
georgestefan;dZ OdZ StEfa:n 
georgheiliger;ge:ORkhaIlIg6 
georgheinrich;ge:ORkhaInRIC 
georghelmut;ge:ORkhElmu:t 
georgi;ge:ORgi: 
georgia;ge:ORgi:a: 
georgie;g@ ORgi:@ 
georgien;ge:ORgi:@n 
georgienfeiertage;ge:ORgi:@nfaI6ta:g@ 
georgiens;ge:ORgi:@ns 
georgiensnationalflagge;ge:ORgi:@nsnatsi:o:na:lflag@ 
georgij;ge: o:6gIja 
georgijewitsch;ge: o:6gi:je:vItS 
georgios;ge: o:6gi: Os 
georgisch;ge: o:6gIS 
georgische;ge:ORk IS@ 
georgischen;ge:ORk IS@n 
georgius;ge: o:6gi: Us 
georgkonrad;ge:ORkOnRa:t 
georgliste;ge:ORklIst@ 
georgquelltext;ge:ORkvEltEkst 
georgrichard;ge:ORkRICaRt 
georgrita;ge:ORkRi:ta: 
georgs;ge:ORks 
georgskreuz;ge:ORkskROYts 
georgsturm;ge:ORkStURm 
geortet;g@ ORt@t 
geoscience;ge:o:saI@ns 
geospatial;gE Ospatsi: a:l 
geostationary;gE Ostatsi: o:naRi: 
geostrategies;ge:o:StRate:gi:s 
geostrategische;ge:o:StRate:gIS@ 
geosynchronen;ge:o:zYnkRo:n@n 
geosynchroner;ge:o:zYnkRo:n6 
geosynchronous;gE o:zYnkRo:nu:s 
geotechnische;ge:o:tECnIS@ 
geotektonischen;ge:o:tEkto:nIS@n 
geothermie;gE o:tERmi:@ 
geothermiestudie;gE o:tERmi:@stu:di:@ 
geothermische;ge:o:tERmIS@ 
geothermischen;ge:o:tERmIS@n 
geotop;ge:o:tOp 
geotransferorbit;ge:o:tRansfe:6 ORbIt 
geowietenskuppe;gE o:vi:tEnskUpE 
geowissenschaften;ge:o:vIs@nSaft@n 
geowissenschaftendeutsche;ge:o:vIs@nSaft@ndOYtS@ 
geowissenschaftler;ge:o:vIs@nSaftl6 
